id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
142192b_2024,2024-07-28,Atlético Mineiro,Corinthians,Arena MRV,Campeonato Brasileiro Série A,44048,6701,44048,3010301.27,676380.47,2333920.8,pdfs\142192b_2024.pdf,2025-05-05,Sucesso,
142193b_2024,2024-07-27,Bahia,Internacional,Arena Fonte Nova,Campeonato Brasileiro Série A,32950,0,32950,1012621.5,644566.18,368055.32,pdfs\142193b_2024.pdf,2025-05-05,Sucesso,
142194b_2024,2024-07-28,Flamengo,Atlético Goianiense,Maracanã,Campeonato Brasileiro Série A,61883,2014,63897,3365745.0,1905044.84,1409575.66,pdfs\142194b_2024.pdf,2025-05-05,Sucesso,
142195b_2024,2024-07-27,Botafogo-RJ,Cruzeiro,Nilton Santos,Campeonato Brasileiro Série A,19349,2380,21729,1085780.0,1018037.97,67742.03,pdfs\142195b_2024.pdf,2025-05-05,Sucesso,
142196b_2024,2024-07-27,Palmeiras,Vitória,Arena Allianz Parque,Campeonato Brasileiro Série A,39609,0,39609,3199707.92,896088.57,2303619.35,pdfs\142196b_2024.pdf,2025-05-05,Sucesso,
142197b_2024,2024-07-28,Red Bull Bragantino,Fluminense,Nabi Abi Chedid,Campeonato Brasileiro Série A,7255,0,7255,324315.0,187796.44,136518.56,pdfs\142197b_2024.pdf,2025-05-05,Sucesso,
142198b_2024,2024-07-27,Fortaleza,São Paulo,Arena Castelão,Campeonato Brasileiro Série A,40178,1144,41322,1240909.0,658905.27,582003.73,pdfs\142198b_2024.pdf,2025-05-05,Sucesso,
142199b_2024,2024-07-28,Cuiabá,Athletico Paranaense,Arena Pantanal,Campeonato Brasileiro Série A,4452,327,4779,80700.0,203786.01,-123086.01,pdfs\142199b_2024.pdf,2025-05-05,Sucesso,
14219b_2024,2024-05-06,Cuiabá,Vitória,Arena Pantanal,Campeonato Brasileiro Série A,3614,0,3614,45080.0,185214.15,-140134.15,pdfs\14219b_2024.pdf,2025-05-05,Sucesso,
142200b_2024,2024-07-27,Juventude,Criciúma,Alfredo Jaconi,Campeonato Brasileiro Série A,6564,0,6564,157920.0,100099.42,57820.58,pdfs\142200b_2024.pdf,2025-05-05,Sucesso,
142201b_2024,2024-08-04,Internacional,Palmeiras,Beira-Rio,Campeonato Brasileiro Série A,30668,0,30668,1345845.0,351084.63,994760.37,pdfs\142201b_2024.pdf,2025-05-05,Sucesso,
142202b_2024,2024-08-05,Cruzeiro,Fortaleza,Kléber Andrade,Campeonato Brasileiro Série A,9666,0,9666,828117.0,163660.8,664456.2,pdfs\142202b_2024.pdf,2025-05-05,Sucesso,
142203b_2024,2024-08-03,Vitória,Cuiabá,Manoel Barradas,Campeonato Brasileiro Série A,26715,0,26715,666996.0,423425.65,243570.35,pdfs\142203b_2024.pdf,2025-05-05,Sucesso,
142204b_2024,2024-08-04,Fluminense,Bahia,Maracanã,Campeonato Brasileiro Série A,50262,1799,52061,1852136.0,1420798.93,416240.27,pdfs\142204b_2024.pdf,2025-05-05,Sucesso,
142205b_2024,2024-08-03,Vasco da Gama,Red Bull Bragantino,São Januário,Campeonato Brasileiro Série A,17938,608,18546,894174.0,654901.22,239272.78,pdfs\142205b_2024.pdf,2025-05-05,Sucesso,
142206b_2024,2024-08-04,Corinthians,Juventude,Neo Química Arena,Campeonato Brasileiro Série A,43947,0,43947,2648449.0,961501.48,1686947.52,pdfs\142206b_2024.pdf,2025-05-05,Sucesso,
142207b_2024,2024-08-03,São Paulo,Flamengo,Morumbi,Campeonato Brasileiro Série A,58065,0,58065,4007778.0,1083331.7,2924446.3,pdfs\142207b_2024.pdf,2025-05-05,Sucesso,
142208b_2024,2024-08-04,Athletico Paranaense,Grêmio,Ligga Arena,Campeonato Brasileiro Série A,26339,0,26339,1080700.0,212872.31,867827.69,pdfs\142208b_2024.pdf,2025-05-05,Sucesso,
142209b_2024,2024-08-03,Atlético Goianiense,Botafogo-RJ,Antônio Accioly,Campeonato Brasileiro Série A,8618,1402,10020,388790.0,89800.33,298989.67,pdfs\142209b_2024.pdf,2025-05-05,Sucesso,
14220b_2024,2024-04-17,Juventude,Corinthians,Alfredo Jaconi,Campeonato Brasileiro Série A,7478,0,7478,335940.0,133131.24,202808.76,pdfs\14220b_2024.pdf,2025-05-05,Sucesso,
142210b_2024,2024-08-03,Criciúma,Atlético Mineiro,Heriberto Hülse,Campeonato Brasileiro Série A,15642,0,15642,626820.0,769176.6,-142356.6,pdfs\142210b_2024.pdf,2025-05-05,Sucesso,
142211b_2024,2024-08-11,Internacional,Athletico Paranaense,Beira-Rio,Campeonato Brasileiro Série A,20996,0,20996,917801.0,273237.74,644563.26,pdfs\142211b_2024.pdf,2025-05-05,Sucesso,
142212b_2024,2024-08-10,Cruzeiro,Atlético Mineiro,Mineirão,Campeonato Brasileiro Série A,61583,0,61583,4819479.0,1088487.52,3730991.48,pdfs\142212b_2024.pdf,2025-05-05,Sucesso,
142213b_2024,2024-08-11,Bahia,Vitória,Arena Fonte Nova,Campeonato Brasileiro Série A,45123,0,45123,1597822.0,791628.83,806193.17,pdfs\142213b_2024.pdf,2025-05-05,Sucesso,
142214b_2024,2024-08-11,Flamengo,Palmeiras,Maracanã,Campeonato Brasileiro Série A,55051,1365,56537,4576502.5,2081810.05,2407378.22,pdfs\142214b_2024.pdf,2025-05-05,Sucesso,
142215b_2024,2024-08-10,Vasco da Gama,Fluminense,Nilton Santos,Campeonato Brasileiro Série A,20003,499,20502,1394989.0,1358891.01,36097.99,pdfs\142215b_2024.pdf,2025-05-05,Sucesso,
142216b_2024,2024-08-10,Corinthians,Red Bull Bragantino,Neo Química Arena,Campeonato Brasileiro Série A,41750,0,41750,2525324.0,938385.99,1586938.01,pdfs\142216b_2024.pdf,2025-05-05,Sucesso,
142217b_2024,2024-08-11,São Paulo,Atlético Goianiense,Morumbi,Campeonato Brasileiro Série A,46600,0,46600,2670805.0,871281.35,1799523.65,pdfs\142217b_2024.pdf,2025-05-05,Sucesso,
142218b_2024,2024-08-10,Fortaleza,Criciúma,Arena Castelão,Campeonato Brasileiro Série A,40311,1357,41668,620473.0,508464.54,112008.46,pdfs\142218b_2024.pdf,2025-05-05,Sucesso,
142219b_2024,2024-08-10,Cuiabá,Grêmio,Arena Pantanal,Campeonato Brasileiro Série A,9862,0,9862,583110.0,281573.0,301537.0,pdfs\142219b_2024.pdf,2025-05-05,Sucesso,
14221b_2024,2024-04-20,Grêmio,Cuiabá,Arena do Grêmio,Campeonato Brasileiro Série A,22722,1599,24321,1303573.0,413150.11,890422.89,pdfs\14221b_2024.pdf,2025-05-05,Sucesso,
142220b_2024,2024-08-11,Juventude,Botafogo-RJ,Alfredo Jaconi,Campeonato Brasileiro Série A,5288,0,5288,149670.0,102298.37,47371.63,pdfs\142220b_2024.pdf,2025-05-05,Sucesso,
142221b_2024,2024-08-17,Grêmio,Bahia,Alfredo Jaconi,Campeonato Brasileiro Série A,17010,0,17010,628668.0,232945.85,395722.15,pdfs\142221b_2024.pdf,2025-05-05,Sucesso,
142222b_2024,2024-08-17,Atlético Mineiro,Cuiabá,Arena MRV,Campeonato Brasileiro Série A,36290,777,36290,1946061.9,573905.74,1372156.16,pdfs\142222b_2024.pdf,2025-05-05,Sucesso,
142223b_2024,2024-08-19,Vitória,Cruzeiro,Manoel Barradas,Campeonato Brasileiro Série A,16940,0,16940,365904.0,330979.63,34924.37,pdfs\142223b_2024.pdf,2025-05-05,Sucesso,
142224b_2024,2024-08-17,Fluminense,Corinthians,Maracanã,Campeonato Brasileiro Série A,30475,759,31234,1165421.5,1310232.53,-144811.03,pdfs\142224b_2024.pdf,2025-05-05,Sucesso,
142225b_2024,2024-08-18,Botafogo-RJ,Flamengo,Nilton Santos,Campeonato Brasileiro Série A,25888,2517,30805,1909690.0,1381097.89,528592.11,pdfs\142225b_2024.pdf,2025-05-05,Sucesso,
142226b_2024,2024-08-18,Palmeiras,São Paulo,Arena Allianz Parque,Campeonato Brasileiro Série A,35791,0,35791,3635550.69,960652.14,2674898.55,pdfs\142226b_2024.pdf,2025-05-05,Sucesso,
142227b_2024,2024-08-17,Red Bull Bragantino,Fortaleza,Nabi Abi Chedid,Campeonato Brasileiro Série A,3859,0,3859,120700.0,157211.05,-36511.05,pdfs\142227b_2024.pdf,2025-05-05,Sucesso,
142228b_2024,2024-08-18,Athletico Paranaense,Juventude,Ligga Arena,Campeonato Brasileiro Série A,21930,0,21930,649685.0,171570.94,478114.06,pdfs\142228b_2024.pdf,2025-05-05,Sucesso,
142229b_2024,2024-08-18,Atlético Goianiense,Internacional,Antônio Accioly,Campeonato Brasileiro Série A,5460,1246,6706,84145.0,73989.66,10155.34,pdfs\142229b_2024.pdf,2025-05-05,Sucesso,
14222b_2024,2024-04-20,Atlético Mineiro,Cruzeiro,Arena MRV,Campeonato Brasileiro Série A,39541,316,39857,2151652.52,661074.1,1490578.42,pdfs\14222b_2024.pdf,2025-05-05,Sucesso,
142230b_2024,2024-08-18,Criciúma,Vasco da Gama,Heriberto Hülse,Campeonato Brasileiro Série A,18403,0,18403,926880.0,867272.85,59607.15,pdfs\142230b_2024.pdf,2025-05-05,Sucesso,
142231b_2024,2024-08-25,Internacional,Cruzeiro,Beira-Rio,Campeonato Brasileiro Série A,30754,0,30754,1274422.0,333109.58,941312.42,pdfs\142231b_2024.pdf,2025-05-05,Sucesso,
142232b_2024,2024-08-24,Atlético Mineiro,Fluminense,Mineirão,Campeonato Brasileiro Série A,32068,3007,35075,1467306.18,901085.75,566220.43,pdfs\142232b_2024.pdf,2025-05-05,Sucesso,
142233b_2024,2024-08-25,Bahia,Botafogo-RJ,Arena Fonte Nova,Campeonato Brasileiro Série A,39625,0,39625,1406959.5,745041.71,661917.79,pdfs\142233b_2024.pdf,2025-05-05,Sucesso,
142234b_2024,2024-08-25,Flamengo,Red Bull Bragantino,Maracanã,Campeonato Brasileiro Série A,30225,743,30968,1755317.5,1526428.33,220878.05,pdfs\142234b_2024.pdf,2025-05-05,Sucesso,
142235b_2024,2024-08-26,Vasco da Gama,Athletico Paranaense,São Januário,Campeonato Brasileiro Série A,16775,958,17733,841135.0,635100.05,206034.95,pdfs\142235b_2024.pdf,2025-05-05,Sucesso,
142236b_2024,2024-08-24,Palmeiras,Cuiabá,Brinco de Ouro da Princesa,Campeonato Brasileiro Série A,16566,0,16566,822382.5,309947.7,512434.8,pdfs\142236b_2024.pdf,2025-05-05,Sucesso,
142237b_2024,2024-08-25,São Paulo,Vitória,Morumbi,Campeonato Brasileiro Série A,32712,0,32712,1670721.0,747120.77,923600.23,pdfs\142237b_2024.pdf,2025-05-05,Sucesso,
142238b_2024,2024-08-25,Fortaleza,Corinthians,Arena Castelão,Campeonato Brasileiro Série A,49378,1919,51297,1283676.0,697682.72,585993.28,pdfs\142238b_2024.pdf,2025-05-05,Sucesso,
142239b_2024,2024-08-24,Atlético Goianiense,Juventude,Antônio Accioly,Campeonato Brasileiro Série A,4407,472,4879,44300.0,69130.44,-24830.44,pdfs\142239b_2024.pdf,2025-05-05,Sucesso,
14223b_2024,2024-04-21,Vitória,Bahia,Manoel Barradas,Campeonato Brasileiro Série A,27396,0,27396,608509.0,394037.0,214472.0,pdfs\14223b_2024.pdf,2025-05-05,Sucesso,
142240b_2024,2024-08-25,Criciúma,Grêmio,Heriberto Hülse,Campeonato Brasileiro Série A,17377,0,17377,826340.0,812699.04,13640.96,pdfs\142240b_2024.pdf,2025-05-05,Sucesso,
142241b_2024,2024-01-09,Grêmio,Atlético Mineiro,Arena do Grêmio,Campeonato Brasileiro Série A,9961,0,9961,732435.0,891776.1,-159341.1,pdfs\142241b_2024.pdf,2025-05-05,Sucesso,
142242b_2024,2024-09-01,Cruzeiro,Atlético Goianiense,Mineirão,Campeonato Brasileiro Série A,58233,0,58233,3004979.5,889456.83,2115522.67,pdfs\142242b_2024.pdf,2025-05-05,Sucesso,
142243b_2024,2024-01-09,Vitória,Vasco da Gama,Manoel Barradas,Campeonato Brasileiro Série A,20785,0,20785,564901.0,399041.87,165859.13,pdfs\142243b_2024.pdf,2025-05-05,Sucesso,
142244b_2024,2024-09-01,Fluminense,São Paulo,Maracanã,Campeonato Brasileiro Série A,45759,1875,47634,1588294.5,1367049.71,213501.22,pdfs\142244b_2024.pdf,2025-05-05,Sucesso,
142245b_2024,2024-08-31,Botafogo-RJ,Fortaleza,Nilton Santos,Campeonato Brasileiro Série A,32564,3980,36544,1890400.0,1453110.64,437289.36,pdfs\142245b_2024.pdf,2025-05-05,Sucesso,
142246b_2024,2024-09-01,Corinthians,Flamengo,Neo Química Arena,Campeonato Brasileiro Série A,45237,0,45237,2589611.0,1008637.18,1580973.82,pdfs\142246b_2024.pdf,2025-05-05,Sucesso,
142247b_2024,2024-09-01,Red Bull Bragantino,Bahia,Nabi Abi Chedid,Campeonato Brasileiro Série A,3858,0,3858,134690.0,155582.07,-20892.07,pdfs\142247b_2024.pdf,2025-05-05,Sucesso,
142248b_2024,2024-09-01,Athletico Paranaense,Palmeiras,Ligga Arena,Campeonato Brasileiro Série A,27352,0,27352,1455325.0,258358.51,1196966.49,pdfs\142248b_2024.pdf,2025-05-05,Sucesso,
142249b_2024,2024-08-31,Cuiabá,Criciúma,Arena Pantanal,Campeonato Brasileiro Série A,4095,0,4095,52840.0,209102.13,-156262.13,pdfs\142249b_2024.pdf,2025-05-05,Sucesso,
14224b_2024,2024-04-20,Fluminense,Vasco da Gama,Maracanã,Campeonato Brasileiro Série A,25842,1175,27017,1443877.5,1398520.51,43542.72,pdfs\14224b_2024.pdf,2025-05-05,Sucesso,
