id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
142250b_2024,2024-01-09,Juventude,Internacional,Alfredo Jaconi,Campeonato Brasileiro Série A,10721,0,10721,366580.0,115918.22,250661.78,pdfs\142250b_2024.pdf,2025-05-05,Sucesso,
142251b_2024,2024-09-16,Internacional,Cuiabá,Beira-Rio,Campeonato Brasileiro Série A,32686,0,32686,1488808.0,345287.06,1143520.94,pdfs\142251b_2024.pdf,2025-05-05,Sucesso,
142252b_2024,2024-09-15,Cruzeiro,São Paulo,Mineirão,Campeonato Brasileiro Série A,44743,3462,48205,1884748.0,839279.6,1045468.4,pdfs\142252b_2024.pdf,2025-05-05,Sucesso,
142253b_2024,2024-09-15,Bahia,Atlético Mineiro,Arena Fonte Nova,Campeonato Brasileiro Série A,26420,0,26420,831632.5,727530.97,104101.53,pdfs\142253b_2024.pdf,2025-05-05,Sucesso,
142254b_2024,2024-09-15,Flamengo,Vasco da Gama,Maracanã,Campeonato Brasileiro Série A,63830,1958,65788,3901630.0,2107139.01,1731683.81,pdfs\142254b_2024.pdf,2025-05-05,Sucesso,
142255b_2024,2024-09-14,Botafogo-RJ,Corinthians,Nilton Santos,Campeonato Brasileiro Série A,32691,3966,36657,2115360.0,1358559.28,756800.72,pdfs\142255b_2024.pdf,2025-05-05,Sucesso,
142256b_2024,2024-09-15,Palmeiras,Criciúma,Arena Allianz Parque,Campeonato Brasileiro Série A,40035,0,40035,3160827.8,931594.9,2229232.9,pdfs\142256b_2024.pdf,2025-05-05,Sucesso,
142257b_2024,2024-09-15,Red Bull Bragantino,Grêmio,Nabi Abi Chedid,Campeonato Brasileiro Série A,5228,0,5228,208210.0,163366.24,44843.76,pdfs\142257b_2024.pdf,2025-05-05,Sucesso,
142258b_2024,2024-09-14,Athletico Paranaense,Fortaleza,Ligga Arena,Campeonato Brasileiro Série A,15635,0,15635,501750.0,150584.51,351165.49,pdfs\142258b_2024.pdf,2025-05-05,Sucesso,
142259b_2024,2024-09-14,Atlético Goianiense,Vitória,Antônio Accioly,Campeonato Brasileiro Série A,4938,0,4938,42155.0,71071.84,-28916.84,pdfs\142259b_2024.pdf,2025-05-05,Sucesso,
